9x19_left2_right2,9,19,6,84,25,Time: 172.840999999999 : 
(1,0)|(4,1)|(7,0)|(2,17)|(1,18)|(3,17)|
(1,1)|(4,2)|(7,1)|(3,17)|(2,18)|(4,17)|
(1,2)|(4,3)|(7,2)|(4,17)|(3,18)|(4,16)|
(1,3)|(4,4)|(7,3)|(4,16)|(4,18)|(4,15)|
(1,4)|(4,5)|(7,4)|(4,15)|(4,17)|(4,14)|
(1,5)|(4,6)|(7,5)|(4,14)|(4,16)|(4,13)|
(1,6)|(4,7)|(7,6)|(4,13)|(4,15)|(4,12)|
(1,7)|(4,8)|(7,7)|(4,12)|(4,14)|(4,11)|
(1,8)|(4,9)|(7,8)|(4,11)|(4,13)|(4,10)|
(1,9)|(5,9)|(7,9)|(4,10)|(4,12)|(4,9)|
(1,10)|(6,9)|(7,10)|(4,9)|(4,11)|(4,8)|
(1,11)|(7,9)|(7,11)|(4,8)|(4,10)|(4,7)|
(1,12)|(7,10)|(7,12)|(4,7)|(4,9)|(4,6)|
(1,13)|(7,11)|(7,13)|(4,6)|(4,8)|(4,5)|
(1,14)|(7,12)|(7,14)|(4,5)|(4,7)|(4,4)|
(1,15)|(7,13)|(7,15)|(4,4)|(4,6)|(4,3)|
(1,16)|(7,14)|(7,16)|(4,3)|(4,5)|(4,2)|
(1,17)|(7,15)|(7,17)|(4,2)|(4,4)|(4,1)|
(1,18)|(7,16)|(7,18)|(4,1)|(4,3)|(5,1)|
(2,18)|(7,17)|(8,18)|(4,0)|(4,2)|(6,1)|
(2,18)|(6,17)|(8,18)|(4,0)|(4,1)|(7,1)|
(2,18)|(5,17)|(8,18)|(4,0)|(5,1)|(7,1)|
(2,18)|(5,17)|(8,18)|(4,0)|(6,1)|(7,1)|
(2,18)|(5,17)|(8,18)|(4,0)|(6,0)|(7,1)|
(2,18)|(5,17)|(8,18)|(4,0)|(7,0)|(7,1)|
(2,18)|(5,17)|(8,18)|(4,0)|(8,0)|(7,1)|
(2,18)|(5,17)|(8,18)|(4,0)|(8,1)|(7,1)|
